kpi_id,train_source_points,ground_truth_points,train_points,finetune_train_points,finetune_test_points,test_points,anomalies_finetune_test,anomalies_test,output_dir
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,146255,149130,146255,74565,37282,37283,236,150,data/kpi_splits/05f10d3a-239c-3bef-9bdc-a2feeb0037aa
0efb375b-b902-3661-ab23-9a0bb799f4e3,8784,8784,8784,4392,2196,2196,8,0,data/kpi_splits/0efb375b-b902-3661-ab23-9a0bb799f4e3
1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0,146254,149156,146254,74578,37289,37289,156,131,data/kpi_splits/1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0
301c70d8-1630-35ac-8f96-bc1b6f4359ea,8784,8784,8784,4392,2196,2196,49,55,data/kpi_splits/301c70d8-1630-35ac-8f96-bc1b6f4359ea
42d6616d-c9c5-370a-a8ba-17ead74f3114,146253,149161,146253,74580,37290,37291,505,1114,data/kpi_splits/42d6616d-c9c5-370a-a8ba-17ead74f3114
43115f2a-baeb-3b01-96f7-4ea14188343c,108071,110629,108071,55314,27657,27658,364,162,data/kpi_splits/43115f2a-baeb-3b01-96f7-4ea14188343c
431a8542-c468-3988-a508-3afd06a218da,129046,111566,129046,55783,27891,27892,822,1586,data/kpi_splits/431a8542-c468-3988-a508-3afd06a218da
4d2af31a-9916-3d9f-8a8e-8a268a48c095,128872,111370,128872,55685,27842,27843,561,1077,data/kpi_splits/4d2af31a-9916-3d9f-8a8e-8a268a48c095
54350a12-7a9d-3ca8-b81f-f886b9d156fd,8866,7616,8866,3808,1904,1904,7,22,data/kpi_splits/54350a12-7a9d-3ca8-b81f-f886b9d156fd
55f8b8b8-b659-38df-b3df-e4a5a8a54bc9,146204,149133,146204,74566,37283,37284,1779,1397,data/kpi_splits/55f8b8b8-b659-38df-b3df-e4a5a8a54bc9
57051487-3a40-3828-9084-a12f7f23ee38,128787,111679,128787,55839,27920,27920,0,46,data/kpi_splits/57051487-3a40-3828-9084-a12f7f23ee38
6a757df4-95e5-3357-8406-165e2bd49360,129010,110876,129010,55438,27719,27719,560,1177,data/kpi_splits/6a757df4-95e5-3357-8406-165e2bd49360
6d1114ae-be04-3c46-b5aa-be1a003a57cd,146239,149122,146239,74561,37280,37281,386,18,data/kpi_splits/6d1114ae-be04-3c46-b5aa-be1a003a57cd
6efa3a07-4544-34a0-b921-a155bd1a05e8,145135,149148,145135,74574,37287,37287,2229,870,data/kpi_splits/6efa3a07-4544-34a0-b921-a155bd1a05e8
7103fa0f-cac4-314f-addc-866190247439,128992,108425,128992,54212,27106,27107,6,44,data/kpi_splits/7103fa0f-cac4-314f-addc-866190247439
847e8ecc-f8d2-3a93-9107-f367a0aab37d,146228,149123,146228,74561,37281,37281,221,121,data/kpi_splits/847e8ecc-f8d2-3a93-9107-f367a0aab37d
8723f0fb-eaef-32e6-b372-6034c9c04b80,146243,149118,146243,74559,37279,37280,363,66,data/kpi_splits/8723f0fb-eaef-32e6-b372-6034c9c04b80
9c639a46-34c8-39bc-aaf0-9144b37adfc8,108074,110636,108074,55318,27659,27659,353,218,data/kpi_splits/9c639a46-34c8-39bc-aaf0-9144b37adfc8
a07ac296-de40-3a7c-8df3-91f642cc14d0,106475,111307,106475,55653,27827,27827,1178,297,data/kpi_splits/a07ac296-de40-3a7c-8df3-91f642cc14d0
a8c06b47-cc41-3738-9110-12df0ee4c721,8863,7578,8863,3789,1894,1895,74,0,data/kpi_splits/a8c06b47-cc41-3738-9110-12df0ee4c721
ab216663-dcc2-3a24-b1ee-2c3e550e06c9,11138,10780,11138,5390,2695,2695,32,37,data/kpi_splits/ab216663-dcc2-3a24-b1ee-2c3e550e06c9
adb2fde9-8589-3f5b-a410-5fe14386c7af,146254,149155,146254,74577,37289,37289,467,931,data/kpi_splits/adb2fde9-8589-3f5b-a410-5fe14386c7af
ba5f3328-9f3f-3ff5-a683-84437d16d554,146126,149132,146126,74566,37283,37283,1777,1993,data/kpi_splits/ba5f3328-9f3f-3ff5-a683-84437d16d554
c02607e8-7399-3dde-9d28-8a8da5e5d251,8784,8784,8784,4392,2196,2196,3,7,data/kpi_splits/c02607e8-7399-3dde-9d28-8a8da5e5d251
c69a50cf-ee03-3bd7-831e-407d36c7ee91,146255,149159,146255,74579,37290,37290,197,151,data/kpi_splits/c69a50cf-ee03-3bd7-831e-407d36c7ee91
da10a69f-d836-3baa-ad40-3e548ecf1fbd,107717,107167,107717,53583,26792,26792,2812,1888,data/kpi_splits/da10a69f-d836-3baa-ad40-3e548ecf1fbd
e0747cad-8dc8-38a9-a9ab-855b61f5551d,8784,8784,8784,4392,2196,2196,7,3,data/kpi_splits/e0747cad-8dc8-38a9-a9ab-855b61f5551d
f0932edd-6400-3e63-9559-0a9860a1baa9,128789,112149,128789,56074,28037,28038,370,1284,data/kpi_splits/f0932edd-6400-3e63-9559-0a9860a1baa9
ffb82d38-5f00-37db-abc0-5d2e4e4cb6aa,128784,111396,128784,55698,27849,27849,692,1217,data/kpi_splits/ffb82d38-5f00-37db-abc0-5d2e4e4cb6aa
